Unique_ID,Sample,Type,Site,LTER_Site,Depth,Replicate,Core,Date,Group,Group_2,Group_3,Environment,perc_OM,d15N,perc_OrgN,d13C,perc_OrgC,C/N,Lambda,Sigma8,S,V,C,P,S/V,C/V,P/(V+S),Bd/V,Ac/Ads,Ac/Adv,Cumulative_3.900um,Cumulative_31.000um,Cumulative_62.500um,Cumulative_125.000um,Diameter_5.00%,Diameter_7.00%,Diameter_10.00%,Diameter_16.00%,Diameter_50.00%,Diameter_84.00%,Diameter_90.00%,Diameter_95.00%,Diameter_98.00%,perc_Clay,perc_Silt,perc_Sand
1,17M,MarineRunoff,AHND,AHND,10,1,B,12/16/15,A,A,1,Reef,2.25,1.51,0.044,-23.39,0.38,8.5,1.21,0.54,0.89,0.24,0.07,0.23,3.68,0.28,0.2,0.53,0.24,0.13,3.42,15.98,25.01,70.2,6.48,9.97,16.06,31.48,98.21,151.21,169.47,194.3,224.3,3.42,21.58,74.99
2,18M,MarineRunoff,AHND,AHND,10,1,T,12/16/15,A,A,1,Reef,1,0.13,0.033,-22.12,0.17,5.31,0.31,0.06,0.23,0.06,0.02,0.15,3.74,0.35,0.51,0.92,0.03,0.07,2.25,9.65,14.6,63.7,13.12,20.82,35.05,65.41,108.98,159.45,177.46,201.24,230.33,2.25,12.35,85.4
3,19M,MarineRunoff,AHND,AHND,10,2,B,12/16/15,A,A,1,Reef,2.14,0.84,0.053,-24.36,0.6,11.44,1.4,0.9,0.93,0.37,0.1,0.26,2.5,0.27,0.2,0.55,0.21,0.2,3.44,17.42,29.21,74.47,6.28,9.54,14.93,27.38,90.87,144.26,162.67,187.57,217.37,3.44,25.78,70.79
4,1M,MarineRunoff,AHND,AHND,20,1,B,12/16/15,A,A,1,Reef,1.4,3.33,0.049,-23.09,0.39,7.83,0.84,0.35,0.59,0.2,0.05,0.2,2.91,0.26,0.26,0.4,0.09,0.14,3.59,14.93,25.39,79.68,6.38,10.4,17.55,36.67,89.56,132.88,146.97,166.04,187.48,3.59,21.8,74.61
5,20M,MarineRunoff,AHND,AHND,10,2,T,12/16/15,A,A,1,Reef,1.68,1.6,0.047,-23.69,0.57,12.07,1.73,1.04,0.75,0.89,0.09,0.23,0.84,0.1,0.14,0.09,0.19,0.11,2.92,11.98,19.81,68.17,9.05,15.25,24.37,52.24,102.18,154.03,172.18,196.71,226.62,2.92,16.89,80.19
6,2M,MarineRunoff,AHND,AHND,20,1,T,12/16/15,A,A,1,Reef,1.5,2.94,0.053,-23.32,0.55,10.37,1.08,0.64,0.8,0.23,0.05,0.13,3.51,0.21,0.12,0.33,0.24,0.12,3.42,14.73,26.83,81.52,6.9,11.3,18.73,36.73,87.05,129.67,143.89,162.32,181.96,3.42,23.41,73.17
7,3M,MarineRunoff,AHND,AHND,20,2,B,12/16/15,A,A,1,Reef,1.78,2.76,0.05,-22.68,0.36,7.24,0.87,0.35,0.56,0.26,0.05,0.18,2.12,0.17,0.22,0.37,0.19,0.15,3.59,15.38,26.58,80.32,6.34,10.26,17.16,33.66,88.3,131.8,146,165.22,186.86,3.59,22.99,73.42
8,4M,MarineRunoff,AHND,AHND,20,2,T,12/16/15,A,A,1,Reef,1.58,3.07,0.052,-23.3,0.48,9.21,1.06,0.51,0.75,0.27,0.04,0.16,2.76,0.16,0.15,0.27,0.15,0.24,3.43,15.06,26.95,81.47,6.85,11.08,18.23,35.49,87.06,129.79,143.96,162.4,182.03,3.43,23.53,73.05
9,27M,Marine,AQUE,AQUE,10,1,B,12/16/15,A,B,1,Reef,2.54,2.48,0.049,-23.57,0.44,8.88,0.53,0.24,0.35,0.16,0.01,0.13,2.14,0.09,0.25,0.45,0.3,0.4,3.12,14.2,23.55,72.15,7.37,11.54,19.05,39.91,96.39,147.44,165.46,189.72,219.37,3.12,20.43,76.45
10,28M,Marine,AQUE,AQUE,10,1,T,12/16/15,A,B,1,Reef,1.18,1.85,0.046,-23.09,0.39,8.58,0.46,0.18,0.34,0.11,0.01,0.12,2.94,0.09,0.27,0.32,0.29,0.35,2.89,12.16,19.92,70.14,8.84,14.58,23.53,52.63,100.05,150.26,168.01,192.13,221.7,2.89,17.03,80.08
11,29M,Marine,AQUE,AQUE,10,2,B,12/16/15,A,B,1,Reef,1.63,2.24,0.057,-24.67,0.9,15.8,0.2,0.19,0.14,0.05,0,0.05,2.62,0.06,0.26,0.33,0.3,0.2,2.83,12.98,21.23,66.5,8.38,13.21,21.56,47.1,102.33,162.98,188.56,237.34,353.78,2.83,18.4,78.77
12,30M,Marine,AQUE,AQUE,10,2,T,12/16/15,A,B,1,Reef,1.19,1.52,0.048,-23.73,0.43,9.07,0.31,0.14,0.19,0.11,0.01,0.08,1.68,0.07,0.26,0.31,0.33,0.35,2.85,11.95,19.27,67.69,8.84,14.69,23.93,54.09,102.79,155,173.35,197.88,227.94,2.85,16.41,80.73
13,43M,Marine,AQUE,AQUE,20,1,B,12/16/15,A,B,1,Reef,2.1,2.96,0.058,-23.43,0.57,9.85,1.39,0.96,0.96,0.4,0.03,0.25,2.4,0.07,0.19,0.2,0.06,0.2,3.82,16.97,30.68,83.49,5.71,9.14,15.15,28.29,83.19,126.01,140.27,158.85,178.86,3.82,26.86,69.32
14,44M,Marine,AQUE,AQUE,20,1,T,12/16/15,A,B,1,Reef,1.47,2.79,0.055,-23.33,0.53,9.75,0.84,0.45,0.6,0.2,0.03,0.13,2.96,0.16,0.16,0.37,0.24,0.14,3.68,16.94,34.19,87.02,6.06,9.83,16.31,28.52,78,119.15,132.7,150.96,171.67,3.68,30.5,65.81
15,45M,Marine,AQUE,AQUE,20,2,B,12/16/15,A,B,1,Reef,1.72,2.43,0.062,-23.44,0.55,8.96,1.11,0.81,0.73,0.32,0.06,0.15,2.31,0.19,0.14,0.26,0.1,0.14,4.35,18.53,31.11,82.49,4.71,7.56,12.39,24.42,84.12,127.99,142.39,160.94,180.82,4.35,26.76,68.89
16,46M,Marine,AQUE,AQUE,20,2,T,12/16/15,A,B,1,Reef,2.31,3.14,0.065,-23.3,0.64,9.95,1.29,0.86,0.83,0.39,0.06,0.16,2.12,0.16,0.13,0.22,0.19,0.16,3.86,17.47,32.78,85.26,5.62,9.04,15.06,27.13,80.42,122.67,136.74,155.36,175.77,3.86,28.92,67.22
17,75M,Marine,IVEE,IVEE,20,1,B,12/16/15,A,B,2,Reef,1.72,2.92,0.047,-23.18,1,21.52,0.15,0.16,0.11,0.04,0,0.02,2.77,0.08,0.11,0.18,0.27,0.19,3.29,13.94,21.33,52.93,6.68,10.3,17.28,40.73,119.81,200.55,236.02,295.19,385.33,3.29,18.04,78.67
18,76M,Marine,IVEE,IVEE,20,1,T,12/16/15,A,B,2,Reef,1.32,3.13,0.046,-22.83,0.4,8.79,0.47,0.2,0.34,0.11,0.01,0.11,3.03,0.13,0.23,0.34,0.24,0.48,4.69,20.09,31.14,66.48,4.21,6.5,10.29,20.55,96.72,167.8,193.72,232.69,294.24,4.69,26.45,68.86
19,77M,Marine,IVEE,IVEE,20,2,B,12/16/15,A,B,2,Reef,1.06,2.69,0.034,-22.7,0.3,8.91,0.26,0.1,0.17,0.09,0.01,0.08,1.98,0.1,0.32,0.32,0.35,0.36,3.7,14.01,21.39,56.3,6,9.7,16.78,41.19,114.81,185.58,212.58,254.25,317.61,3.7,17.68,78.61
20,78M,Marine,IVEE,IVEE,20,2,T,12/16/15,A,B,2,Reef,1.24,2.94,0.051,-22.98,0.49,9.69,0.58,0.28,0.4,0.17,0.01,0.11,2.39,0.09,0.19,0.19,0.2,0.31,4.13,17.67,28.64,67.38,4.95,7.82,12.48,25.85,96.92,164.43,189.33,227,286.77,4.13,24.51,71.36
21,91M,Marine,IVEE,IVEE,10,1,B,12/16/15,A,B,2,Reef,2.84,6.14,0.1,-22.04,1.38,14.17,0.08,0.1,0.06,0.02,0,0.13,3.26,0.23,1.84,0.62,0.31,0.27,7.63,42.28,62.14,80.1,2.78,3.6,5.03,8.27,41.54,151.29,215.86,312.54,406.27,7.63,54.5,37.86
22,92M,Marine,IVEE,IVEE,10,1,T,12/16/15,A,B,2,Reef,1.16,4.59,0.064,-21.92,0.48,7.46,0.13,0.06,0.09,0.04,0,0.1,2.29,0.09,0.75,1.1,0.28,0.31,3.7,16.75,27.95,60.75,5.6,8.6,13.52,28.45,102.23,217.31,279.02,362.3,441.33,3.7,24.25,72.05
23,93M,Marine,IVEE,IVEE,10,2,B,12/16/15,A,B,2,Reef,0.9,2.96,0.046,-21.53,0.28,6.11,0.04,0.01,0.03,0.01,0,0.08,2.81,0.25,2.17,2.74,0.35,0.58,2.56,10.64,15.87,31.24,9.45,14.92,28.22,63.62,175.6,334.51,383.4,442.1,486.67,2.56,13.31,84.13
24,94M,Marine,IVEE,IVEE,10,2,T,12/16/15,A,B,2,Reef,1.37,4.64,0.066,-21.69,0.48,7.3,0.09,0.04,0.06,0.03,0,0.1,2.45,0.14,1.11,1.79,0.27,0.41,3.28,13.81,22.97,53.34,6.98,10.96,18.33,41.43,117.84,249.08,311.81,385.84,457.92,3.28,19.69,77.03
25,51M,MarineRunoff,REFU,REFU,20,1,B,12/16/15,A,A,1,Reef,2.59,4.96,0.095,-23.96,1.04,11.01,1.14,1.08,0.79,0.32,0.02,0.14,2.5,0.08,0.13,0.21,0.09,0.22,5.31,26.14,42.82,83.94,3.66,5.29,8.14,14.37,72.09,125.19,143.25,167.64,196.42,5.31,37.51,57.18
26,52M,MarineRunoff,REFU,REFU,20,1,T,12/16/15,A,A,1,Reef,1.73,3.58,0.053,-23.26,0.47,8.77,2.46,1.25,1.67,0.75,0.05,0.29,2.23,0.06,0.12,0.12,0.23,0.27,5.18,23.11,38.47,83.51,3.74,5.68,9.11,17.14,76.82,126.18,142.86,165.3,191.39,5.18,33.29,61.53
27,53M,MarineRunoff,REFU,REFU,20,2,B,12/16/15,A,A,1,Reef,1.4,2.65,0.065,-24.85,0.87,13.41,0.96,0.88,0.66,0.27,0.03,0.14,2.46,0.11,0.15,0.27,0.2,0.16,4.37,18.09,29.69,75.4,4.65,7.42,12.1,24.86,89.21,142.87,161.43,186.72,216.7,4.37,25.32,70.31
28,54M,MarineRunoff,REFU,REFU,20,2,T,12/16/15,A,A,1,Reef,2.02,3.27,0.058,-23.61,0.58,9.97,1.84,1.18,1.18,0.61,0.05,0.27,1.94,0.09,0.15,0.22,0.33,0.32,4.7,20.87,35.46,80.49,4.2,6.57,10.52,20.22,80.85,132.76,150.18,174.32,203.35,4.7,30.76,64.54
29,67M,MarineRunoff,REFU,REFU,10,1,B,12/16/15,A,A,1,Reef,0.82,-0.1,0.029,-22.44,0.16,5.49,0.39,0.08,0.28,0.1,0.01,0.12,2.88,0.15,0.31,0.68,0.3,0.42,2.48,9.41,14.2,47.4,11.36,19.66,34.81,68.61,129.01,207.32,243.45,308.89,397.42,2.48,11.72,85.8
30,68M,MarineRunoff,REFU,REFU,10,1,T,12/16/15,A,A,1,Reef,0.81,1.61,0.03,-22.28,0.17,5.5,0.52,0.11,0.28,0.17,0.07,0.26,1.61,0.38,0.57,0.4,1.03,1.04,1.93,7.45,11.57,46.38,17.67,28.24,54.34,75.94,130.3,203.63,236.43,292.24,381.26,1.93,9.64,88.43
31,69M,MarineRunoff,REFU,REFU,10,2,B,12/16/15,A,A,1,Reef,1.21,-0.64,0.029,-22.27,0.2,6.93,0.36,0.09,0.26,0.08,0.01,0.09,3.12,0.07,0.26,0.54,0.26,0.35,20.9,89.81,99.83,100,1.37,1.72,2.19,3.09,9.95,26.46,31.99,38,43.82,20.9,78.93,0.17
32,70M,MarineRunoff,REFU,REFU,10,2,T,12/16/15,A,A,1,Reef,1.92,3.35,0.053,-22.77,0.52,9.86,0.66,0.36,0.49,0.16,0.02,0.13,3.05,0.09,0.2,0.29,0.24,0.32,5.99,27.83,41.65,70.14,3.28,4.63,7.1,12.49,80.97,170.32,209.2,282,382.33,5.99,35.66,58.35
33,125M,MarineRunoff,ABUR,ABUR,20,1,B,12/17/15,A,A,3,Reef,1.89,3.14,0.053,-24.07,0.63,11.83,2.02,1.38,1.34,0.59,0.09,0.29,2.28,0.15,0.15,0.27,0.23,0.23,4.72,19.97,34.82,83.56,4.18,6.56,10.75,21.58,79.89,126.06,141.51,162,184.9,4.72,30.1,65.18
34,126M,MarineRunoff,ABUR,ABUR,20,1,T,12/17/15,A,A,3,Reef,2.28,4.08,0.068,-23.56,0.95,14.01,1.03,0.97,0.72,0.28,0.03,0.17,2.55,0.09,0.16,0.24,0.21,0.2,4.59,19.66,37.69,87.33,4.36,7.04,11.73,22.71,75.1,118.12,132.2,151.13,172.43,4.59,33.1,62.31
35,127M,MarineRunoff,ABUR,ABUR,20,2,B,12/17/15,A,A,3,Reef,2.41,3.38,0.069,-23.96,0.92,13.26,1.88,1.76,1.23,0.55,0.1,0.19,2.24,0.19,0.11,0.22,0.17,0.13,5.71,26.45,46.13,89.74,3.39,4.93,7.8,14.38,66.76,111.45,125.76,144.91,167.02,5.71,40.42,53.87
36,128M,MarineRunoff,ABUR,ABUR,20,2,T,12/17/15,A,A,3,Reef,1.85,3.21,0.059,-23.7,0.68,11.59,1.96,1.31,1.39,0.53,0.05,0.2,2.63,0.09,0.11,0.15,0.15,0.21,4.45,20.23,38.77,88.4,4.49,7.06,11.59,22.06,73.86,115.69,129.33,147.89,169.12,4.45,34.32,61.23
37,141M,MarineRunoff,ABUR,ABUR,10,1,B,12/17/15,A,A,3,Reef,1.84,0.88,0.031,-23.13,0.37,11.98,0.67,0.29,0.46,0.18,0.03,0.1,2.61,0.15,0.16,0.23,0.17,0.18,2.8,11.04,16.99,60.55,9.6,16.35,26.92,58.75,112.13,165.77,184.22,208.25,236.08,2.8,14.19,83.01
38,142M,MarineRunoff,ABUR,ABUR,10,1,T,12/17/15,A,A,3,Reef,1.24,1.19,0.033,-22.7,0.32,9.58,0.23,0.08,0.15,0.07,0.01,0.1,2.25,0.11,0.45,0.62,0.19,0.29,1.98,8.15,11.9,54.3,16.25,25.61,48.51,74.45,119.9,173.1,191.29,216.33,243.86,1.98,9.92,88.1
39,143M,MarineRunoff,ABUR,ABUR,10,2,B,12/17/15,A,A,3,Reef,1.51,1.67,0.033,-23.41,0.44,13.13,2,0.92,1.62,0.36,0.02,0.09,4.5,0.06,0.05,0.12,0.18,0.12,2.35,9.78,14.67,57.02,12.09,20.34,32.07,66.48,116.61,170.19,188.59,211.97,238.75,2.35,12.32,85.33
40,144M,MarineRunoff,ABUR,ABUR,10,2,T,12/17/15,A,A,3,Reef,1.82,1.77,0.038,-22.93,0.54,14.2,0.26,0.15,0.21,0.05,0,0.05,4.11,0.07,0.2,0.44,0.11,0.21,2.34,9.59,14.17,56.84,12.18,20.35,33.69,68.13,116.87,170.19,188.49,211.9,238.63,2.34,11.82,85.83
41,101M,MarineRunoff,GOLB,GOLB,20,1,B,12/17/15,A,A,2,Reef,1.15,0.63,0.039,-23.32,0.31,7.79,0.67,0.28,0.44,0.21,0.02,0.12,2.15,0.1,0.18,0.2,0.25,0.18,3.6,15.15,27.35,61.7,6.11,9.85,16.52,33.92,102.92,183.16,214.18,266.92,352.3,3.6,23.75,72.65
42,102M,MarineRunoff,GOLB,GOLB,20,1,T,12/17/15,A,A,2,Reef,1.16,2.03,0.04,-22.76,0.28,6.91,0.54,0.19,0.37,0.17,0,0.12,2.18,0.02,0.22,0.19,0.11,0.16,3.37,13.65,23.13,55.96,6.74,10.8,18.44,41.1,114.17,193.25,225.68,278.51,363.65,3.37,19.76,76.87
43,103M,MarineRunoff,GOLB,GOLB,20,2,B,12/17/15,A,A,2,Reef,1.16,1.96,0.037,-23.34,0.29,7.96,1.03,0.41,0.71,0.31,0.02,0.15,2.31,0.06,0.14,0.11,0.09,0.19,3.98,15.81,25.92,55.94,5.22,8.37,13.86,31.7,113.48,195.62,228.92,282.73,368.27,3.98,21.94,74.08
44,104M,MarineRunoff,GOLB,GOLB,20,2,T,12/17/15,A,A,2,Reef,1.19,2.71,0.035,-22.72,0.24,6.81,0.66,0.24,0.47,0.18,0.02,0.11,2.57,0.1,0.16,0.31,0.24,0.14,3.49,14.12,22.83,52.83,6.48,10.34,17.6,39.56,119.65,201.88,236.1,293.92,383.07,3.49,19.34,77.17
45,117M,MarineRunoff,GOLB,GOLB,10,1,B,12/17/15,A,A,2,Reef,0.76,-0.42,0.026,-22.99,0.16,6.32,0.35,0.07,0.22,0.12,0.02,0.12,1.87,0.13,0.36,0.31,0.25,0.24,2.78,10.93,21.87,63.48,10.11,17.01,26.85,51.52,101.74,198.99,267.88,360.74,442.96,2.78,19.1,78.13
46,118M,MarineRunoff,GOLB,GOLB,10,1,T,12/17/15,A,A,2,Reef,0.67,0.11,0.025,-22.67,0.14,5.41,0.15,0.03,0.11,0.04,0.01,0.1,2.69,0.15,0.65,0.82,0.42,0.32,2.17,8.7,16.76,62.22,14.87,22.61,43.68,60.92,106.39,186.44,237.14,328.51,420.64,2.17,14.59,83.24
47,119M,MarineRunoff,GOLB,GOLB,10,2,B,12/17/15,A,A,2,Reef,0.86,0.21,0.031,-23.69,0.25,8.2,0.52,0.16,0.36,0.15,0.01,0.11,2.38,0.05,0.22,0.2,0.26,0.26,3.55,13.84,26.16,67.93,6.61,11.2,19,40.78,94.41,180.83,243,342.5,430.94,3.55,22.61,73.84
48,120M,MarineRunoff,GOLB,GOLB,10,2,T,12/17/15,A,A,2,Reef,0.78,0.19,0.029,-22.71,0.18,5.94,0.34,0.07,0.22,0.11,0.01,0.1,1.93,0.09,0.31,0.24,0.28,0.18,2.41,9.48,17.63,57.86,12.51,20.1,36.04,59.08,111.15,220.74,297.13,379.99,454.84,2.41,15.21,82.37
49,174M,MarineRunoff,MICR,MICR,20,1,T,12/17/15,A,A,3,Reef,1.43,2.14,0.051,-22.74,0.39,7.69,0.67,0.37,0.48,0.17,0.01,0.11,2.79,0.07,0.17,0.21,0.14,0.2,11.79,45.36,59.61,71.15,1.99,2.53,3.43,5.85,44.03,190.6,242.41,301.56,361.58,11.79,47.82,40.39
50,175M,MarineRunoff,MICR,MICR,20,1,B,12/17/15,A,A,3,Reef,1.79,3.82,0.065,-22.96,0.58,8.98,0.74,0.44,0.5,0.22,0.02,0.14,2.33,0.11,0.2,0.23,0.12,0.22,15.81,59.19,75.29,83.26,1.64,2.03,2.62,3.95,18.34,130.21,178.11,249.76,353.49,15.81,59.48,24.71
51,176M,MarineRunoff,MICR,MICR,20,2,T,12/17/15,A,A,3,Reef,1.85,3.87,0.047,-22.85,0.39,8.26,0.58,0.3,0.41,0.16,0.01,0.11,2.55,0.08,0.2,0.24,0.09,0.19,15.16,56.66,72.29,79.31,1.62,2.06,2.69,4.18,22.47,157.11,222.73,317.8,411.06,15.16,57.13,27.71
52,177M,MarineRunoff,MICR,MICR,20,2,B,12/17/15,A,A,3,Reef,1.61,3.85,0.052,-22.84,0.45,8.6,0.77,0.42,0.51,0.24,0.02,0.16,2.07,0.08,0.21,0.24,0.1,0.25,14.81,57.12,72.68,80.65,1.71,2.14,2.76,4.23,20.22,151.32,209.79,293.22,388.6,14.81,57.87,27.32
53,190M,MarineRunoff,MICR,MICR,10,1,T,12/17/15,A,A,3,Reef,1,1.09,0.032,-24.05,0.35,10.75,1.37,0.63,0.87,0.47,0.03,0.18,1.85,0.06,0.14,0.11,0.13,0.2,4.16,21.63,40.1,57.51,4.87,7.59,11.77,21.09,84.53,369.09,412.22,462.57,495.69,4.16,35.94,59.9
54,191M,MarineRunoff,MICR,MICR,10,1,B,12/17/15,A,A,3,Reef,1.87,3.4,0.054,-24.28,0.73,13.64,0.92,0.77,0.57,0.33,0.02,0.12,1.76,0.06,0.13,0.11,0.14,0.19,7.06,36.35,61.23,80.53,2.85,3.87,5.81,10.24,47.68,229.87,327.52,402.93,469,7.06,54.17,38.77
55,192M,MarineRunoff,MICR,MICR,10,2,T,12/17/15,A,A,3,Reef,1.1,2.86,0.034,-24.65,0.45,13.19,1.76,0.97,1.15,0.58,0.03,0.25,1.97,0.04,0.14,0.18,0.11,0.22,5.06,25.41,47.64,68.69,3.86,5.85,9.31,16.71,66.22,324.31,378.09,439.55,485.6,5.06,42.57,52.36
56,193M,MarineRunoff,MICR,MICR,10,2,B,12/17/15,A,A,3,Reef,5.14,2.12,0.12,-25.61,2.29,18.78,1.99,4.81,1.26,0.66,0.07,0.28,1.91,0.11,0.15,0.24,0.23,0.22,7.92,44.09,75.01,98.26,2.6,3.45,5.02,8.75,36.76,75.17,87.58,103.88,122.84,7.92,67.1,24.99
57,150M,Marine,MOHK,MOHK,20,1,T,12/17/15,A,B,3,Reef,1.29,3.72,0.047,-23.28,0.48,10.32,0.54,0.26,0.34,0.17,0.02,0.16,1.95,0.14,0.31,0.48,0.29,0.32,4.14,18.57,30.41,70.31,4.89,7.59,12.02,24,92.32,160.51,190.37,252.31,366.48,4.14,26.28,69.59
58,151M,Marine,MOHK,MOHK,20,1,B,12/17/15,A,B,3,Reef,1.55,2.81,0.046,-23.17,0.5,10.79,0.75,0.41,0.48,0.26,0.02,0.12,1.86,0.06,0.17,0.2,0.26,0.27,4.63,21.21,33.52,68.02,4.34,6.49,10.14,19.72,91.62,177.22,228.55,321.38,418.13,4.63,28.89,66.48
59,152M,Marine,MOHK,MOHK,20,2,T,12/17/15,A,B,3,Reef,1.61,2.68,0.043,-23.43,0.45,10.47,0.46,0.22,0.32,0.12,0.02,0.12,2.69,0.18,0.28,0.56,0.02,0.31,3.07,12.03,21.28,62.57,8.2,13.72,23.36,49.75,105.29,183.55,229.15,315.09,413.29,3.07,18.21,78.72
60,153M,Marine,MOHK,MOHK,20,2,B,12/17/15,A,B,3,Reef,1.96,3.16,0.039,-22.82,0.44,11.04,0.69,0.34,0.47,0.16,0.05,0.23,2.89,0.33,0.37,0.62,0.5,0.57,4.34,18.92,29.08,64.86,4.58,7,10.96,22.71,99.33,176.99,213.53,288.78,391.12,4.34,24.74,70.92
61,166M,Marine,MOHK,MOHK,10,1,T,12/17/15,A,B,3,Reef,0.72,0.56,0.023,-22.59,0.12,5.22,0.19,0.03,0.11,0.06,0.02,0.13,1.88,0.3,0.79,0.67,0.22,0.36,1.37,4.84,6.97,30.28,32.52,62.15,82.8,99.63,155.85,247.72,299.25,372.79,446.3,1.37,5.6,93.03
62,167M,Marine,MOHK,MOHK,10,1,B,12/17/15,A,B,3,Reef,0.93,0.68,0.027,-22.73,0.18,6.92,0.14,0.03,0.1,0.03,0,0.09,3.16,0.11,0.65,1.09,0.12,0.19,1.66,6.25,9.12,34.12,22.22,37.38,68.83,91.42,150.81,252.56,315.36,387.3,458.66,1.66,7.46,90.88
63,168M,Marine,MOHK,MOHK,10,2,T,12/17/15,A,B,3,Reef,0.78,1.33,0.026,-22.33,0.16,6.38,0.14,0.03,0.11,0.03,0,0.07,3.5,0,0.48,0.94,0,0.2,1.5,5.57,8.08,33.87,26.81,47.37,75.33,94,149.65,236.83,281.14,354.55,431.46,1.5,6.58,91.92
64,169M,Marine,MOHK,MOHK,10,2,B,12/17/15,A,B,3,Reef,0.94,0.93,0.029,-22.6,0.22,7.61,0.1,0.03,0.09,0.01,0,0.06,6.34,0.01,0.6,1.53,0,0.59,1.75,6.51,9.67,35.56,21.08,35.46,64.58,89.21,147.71,237.39,283.09,357.59,434.51,1.75,7.92,90.33
65,1S,Stream,ABUR,AB00,NA,NA,NA,1/31/16,B,C,3,Stream,10.18,6.39,0.3,-26.66,3.92,12.85,1.23,3.77,0.72,0.41,0.1,0.4,1.73,0.25,0.36,0.18,0.09,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,5S,Stream,AHND,HO00,NA,NA,NA,1/31/16,B,C,1,Stream,34.41,0.61,1.23,-28.67,17.45,14.23,2.34,36.53,1.34,0.72,0.28,0.7,1.86,0.39,0.34,0.16,0.14,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2S,Stream,ATMY,ATMY,NA,NA,NA,1/31/16,B,C,2,Stream,8.51,4.71,0.3,-26.33,3.75,12.38,2.16,6.95,1.24,0.78,0.14,0.57,1.58,0.17,0.28,0.13,0.16,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,3S,Stream,BC02,BC02,NA,NA,NA,1/31/16,B,C,2,Stream,7.91,3.6,0.32,-25.71,2.43,7.62,1,2.43,0.6,0.34,0.06,0.3,1.77,0.19,0.32,0.12,0.17,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,4S,Stream,GATE,TE03,NA,NA,NA,1/31/16,B,C,2,Stream,7.2,5.1,0.22,-25.59,2.39,10.97,1.81,3.54,1.17,0.53,0.11,0.45,2.21,0.21,0.26,0.2,0.16,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,6S,Stream,MICR,MC00,NA,NA,NA,1/31/16,B,C,3,Stream,13.21,3.76,0.43,-26.33,3.92,9.1,1.54,6.05,0.85,0.57,0.13,0.42,1.5,0.22,0.3,0.15,0.17,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,7S,Stream,REFU,RG01,NA,NA,NA,1/31/16,B,C,1,Stream,23.13,5.49,0.49,-25.36,6.29,12.95,0.75,4.69,0.42,0.28,0.05,0.22,1.5,0.16,0.31,0.16,0.26,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,8S,Stream,SPLV,SP02,NA,NA,NA,1/31/16,B,C,2,Stream,7.84,3.5,0.25,-25.99,2.79,11.32,1.3,3.17,0.77,0.43,0.1,0.33,1.78,0.22,0.28,0.21,0.17,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,9S,Stream,ABUR,AB00,NA,NA,NA,3/6/16,C,D,3,Stream,6.04,4.73,0.45,-26.57,3.84,8.53,1.96,7.52,1.11,0.65,0.2,0.62,1.69,0.3,0.35,0.12,0.12,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,10S,Stream,ATMY,ATMY,NA,NA,NA,3/6/16,C,D,2,Stream,6.04,1.7,0.26,-26.53,2.18,8.38,1.15,2.5,0.67,0.38,0.1,0.32,1.77,0.25,0.3,0.18,0.18,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,11S,Stream,BC02,BC02,NA,NA,NA,3/6/16,C,D,2,Stream,5.95,2.23,0.26,-25.97,1.85,7.12,1.41,2.61,1.08,0.29,0.04,0.23,3.73,0.13,0.17,0.18,0.37,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,12S,Stream,GATE,TE03,NA,NA,NA,3/6/16,C,D,2,Stream,9.68,2.34,0.35,-26.62,2.99,8.54,2.05,6.14,1.6,0.39,0.07,0.31,4.13,0.18,0.16,0.23,0.28,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,17S,Stream,GV01,GV01,NA,NA,NA,3/6/16,C,D,1,Stream,3.89,-2.04,0.15,-27.07,0.78,5.2,0.56,0.43,0.38,0.16,0.01,0.13,2.4,0.09,0.24,0.28,0.34,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
