ID,Site,Depth,Replicate,Core,Date,OM,d15N,Nitrogen,d13C,Carbon,C_N,Lambda,Sigma8,Lignin_S,Lignin_V,Lignin_C,Lignin_P,Lignin_S_V,Lignin_C_V,Lignin_P_V_S,Lignin_Bd_V,Lignin_AcAd_s,Lignin_AcAd_v
200_166,GOSL,,1,B,2016-07-02,2.15,5.27,0.05,-23.63,0.74,14.8,0.89,0.66,0.6,0.23,0.07,0.18,2.64,0.3,0.22,0.24,0.25,0.53
200_167,GOSL,,2,T,2016-07-02,5.01,5.83,0.17,-25.23,1.62,9.53,1.41,2.28,0.92,0.35,0.14,0.22,2.68,0.4,0.17,0.1,0.24,0.56
200_168,GOSL,,2,B,2016-07-02,2.98,5.39,0.1,-24.82,1.06,10.6,1.46,1.55,0.94,0.34,0.18,0.23,2.74,0.52,0.18,0.13,0.1,0.45
200_169,GOSL,,3,T,2016-07-02,3.9,5.55,0.08,-24.53,1.03,12.88,1.86,1.92,1.25,0.46,0.14,0.25,2.71,0.31,0.14,0.11,0.17,0.4
200_170,GOSL,,3,B,2016-07-02,2.83,5.26,0.08,-24.24,1.3,16.25,1.68,2.19,1.14,0.43,0.11,0.19,2.63,0.25,0.12,0.11,0.15,0.39
200_171,GOSL,,4,T,2016-07-02,5.17,1.63,0.14,-27.37,2.49,17.79,1.85,4.61,1.24,0.51,0.11,0.2,2.43,0.22,0.12,0.23,0.18,0.47
200_172,GOSL,,4,B,2016-07-02,4.04,1.39,0.1,-27.84,1.58,15.8,3.61,5.7,2.32,1.1,0.19,0.36,2.11,0.18,0.11,0.13,0.19,0.43
300_173,REFU,10,1,T,2017-03-13,0.58,2,0.02,-19.63,0.11,5.5,,,,,,,,,,,,
300_174,REFU,10,2,T,2017-03-13,0.68,1.96,0.02,-22.21,0.15,7.5,,,,,,,,,,,,
300_175,REFU,10,3,T,2017-03-13,0.77,1.72,0.02,-22.16,0.16,8,,,,,,,,,,,,
300_176,REFU,10,4,T,2017-03-13,0.99,3.1,0.03,-22.14,0.29,9.67,,,,,,,,,,,,
300_177,REFU,10,1,B,2017-03-13,0.5,1.34,0.02,-18.17,0.12,6,,,,,,,,,,,,
300_178,REFU,10,2,B,2017-03-13,0.79,0.6,0.03,-23.18,0.2,6.67,,,,,,,,,,,,
