ID,Site,Year,Depth,Core,Cumul_value_3.9um,Cumul_value_31um,Cumul_value_62.5um,Cumul_value_125um,Diameter_5perc,Diameter_7perc,Diameter_10perc,Diameter_16perc,Diameter_50perc,Diameter_84perc,Diameter_90perc,Diameter_95perc,Diameter_98perc,perc_Clay,perc_Silt,perc_Sand
300_064,MICR,2015,20,B,14.811553,57.12135887,72.67982101,80.65000153,1.714036465,2.138216972,2.762577653,4.22776556,20.22246552,151.3179855,209.7868958,293.2187119,388.5961456,14.811553,57.86826801,27.32017899
200_065,GOSL,2015,,T,2.716436267,9.533320427,14.1251502,25.36499977,10.14565134,17.34550428,33.88390732,80.61162567,192.4155273,353.0796204,397.4333954,453.5101318,491.6856689,2.716436267,11.40871394,85.8748498
200_066,GOSL,2015,,B,2.196001291,7.794909954,11.46136856,23.70499992,13.81561089,25.22217655,48.03479385,99.20307922,187.5699234,340.6569519,388.5295715,446.5908051,488.6490326,2.196001291,9.26536727,88.53863144
200_067,GOSL,2015,,T,8.342636824,36.94005775,53.74917221,74.47999954,2.484132409,3.284258962,4.790425777,8.703633308,53.76905632,164.6279831,210.8277817,300.6444702,400.22052,8.342636824,45.40653539,46.25082779
200_068,GOSL,2015,,B,6.457070589,31.60470867,47.95407867,66.40999985,3.093206882,4.274855614,6.516652346,11.28663301,68.41211128,273.1192169,344.0083313,413.6103363,473.7756042,6.457070589,41.49700809,52.04592133
200_069,GOSL,2015,,T,12.41067076,51.50811195,76.93000031,97.1099968,1.83510071,2.348735809,3.155193686,5.330393314,29.40158939,75.56464767,90.6192131,110.5878944,132.958046,12.41067076,64.51932955,23.06999969
200_070,GOSL,2015,,B,17.38863277,64.77207756,89.5007782,99.83999634,1.455523133,1.82465595,2.359014273,3.563112617,17.21772099,52.72228813,63.75824928,78.32753754,94.44665527,17.38863277,72.11214542,10.4992218
200_071,GOSL,2015,,T,8.589180946,36.7045269,59.04522133,91.95999908,2.386694431,3.163248301,4.667550564,8.783279419,50.2349472,102.4817352,118.4881859,139.090065,162.9345474,8.589180946,50.45604038,40.95477867
200_072,GOSL,2015,,B,9.616620541,40.74014664,64.89829636,96.33499908,2.191873074,2.854855537,4.078733325,7.612832546,43.46996117,89.47509766,102.3996849,119.1680298,136.3503265,9.616620541,55.28167582,35.10170364
200_073,ABURE,2015,,T,11.50661469,39.48579216,51.83946609,64.06999779,1.935316622,2.464445233,3.362448335,6.088242531,57.43616104,296.4937286,360.3449707,426.2205658,479.654892,11.50661469,40.33285141,48.16053391
200_074,ABURE,2015,,B,1.37515229,8.453839302,13.59179258,20.7149992,17.37459469,25.86551857,42.46112061,86.52508736,266.5336838,405.3095856,444.533783,480.3077087,515.6156158,1.37515229,12.21664029,86.40820742
200_075,ABURE,2015,,T,4.834414005,20.06148624,28.72091579,37.7349987,4.076190472,6.186113358,9.860912323,19.92960548,208.3897781,386.6683807,428.5634918,471.6142578,499.8563843,4.834414005,23.88650179,71.27908421
200_076,ABURE,2015,,B,11.32174158,59.33960533,86.07098007,98.90999985,2.066409469,2.618404031,3.467324495,5.607379198,22.73369884,58.73944664,71.95222092,90.67332077,112.6376724,11.32174158,74.74923849,13.92901993
200_077,ABURE,2015,,T,6.890847445,34.67428589,51.37127113,70.07499886,2.96483314,4.048579216,6.081967354,10.45989895,62.65678978,234.717308,303.0050735,387.8965912,457.4063721,6.890847445,44.48042369,48.62872887
200_078,ABURE,2015,,B,7.995350599,39.21545601,57.40735817,74.79499817,2.585955858,3.416038632,4.986511946,8.755745411,47.53991318,195.6646957,283.0640869,372.247406,450.1071014,7.995350599,49.41200757,42.59264183
300_079,IVEE,2016,10,T,15.42320061,81.33531952,98.14033508,100,1.718679845,2.154184103,2.762331367,4.036319137,13.37632704,34.58593941,40.21768761,47.79942131,56.37549591,15.42320061,82.71713448,1.859664917
300_080,IVEE,2016,10,T,12.20737362,66.3621006,85.05260086,93.05499649,2.059286118,2.576804757,3.347240686,5.060842276,16.57066488,70.29496002,118.9477863,207.7195511,269.5578537,12.20737362,72.84522724,14.94739914
300_081,IVEE,2016,10,B,14.14300203,68.13185883,93.98551559,99.92499924,1.815876365,2.270861626,2.930670738,4.384622335,15.89795065,46.61273384,54.78692818,65.88425446,78.34092903,14.14300203,79.84251356,6.014484406
300_082,IVEE,2016,10,B,8.471857309,42.15387726,61.11549759,72.64499664,2.546852827,3.306464791,4.614466429,7.727305412,42.75555038,279.7746887,350.0285645,418.3718872,475.9332275,8.471857309,52.64364028,38.88450241
300_083,IVEE,2016,20,T,3.777889013,14.09397125,23.18496704,62.51000023,5.878002882,9.711922646,16.85946417,40.79365349,104.9028091,177.958931,209.6935425,271.0248871,372.2042236,3.777889013,19.40707803,76.81503296
300_084,IVEE,2016,20,T,3.523669124,13.65380239,22.54197693,62.39999962,6.516521454,10.6335721,18.3228941,43.11429214,105.4678421,176.6941452,206.7300949,263.3925705,363.1958466,3.523669124,19.01830781,77.45802307
300_085,IVEE,2016,20,B,33.7712307,100,100,100,0.209551997,0.269378506,0.825248331,2.034491241,6.419850349,10.83745956,11.9879303,13.46667004,15.18822336,33.7712307,66.2287693,0
300_086,IVEE,2016,20,B,3.450101137,13.99598742,21.73114491,53.92499924,6.388683319,10.0852356,17.13604259,40.81284523,117.9653168,206.1573257,249.9031754,326.209198,413.1880646,3.450101137,18.28104377,78.26885509
300_087,REFU,2016,10,T,17.88896656,78.92240143,97.84289551,100,1.507126451,1.881854415,2.408903956,3.498200417,12.35771847,36.43996048,43.97423744,53.07769012,63.88311386,17.88896656,79.95392895,2.157104492
300_088,REFU,2016,10,T,19.85995865,79.93903351,97.80593872,100,1.308938861,1.711720169,2.224529088,3.242907524,11.58390665,35.56016731,43.28343582,52.76613426,63.52918053,19.85995865,77.94598007,2.194061279
300_089,REFU,2016,10,B,2.374257445,10.79888296,16.71017456,38.56500053,10.07415199,15.68802309,27.47909832,58.43986893,147.8414993,268.6312866,330.2772369,396.4860687,465.1619568,2.374257445,14.33591712,83.28982544
